;;;Alb-Elektrizitätswerk Geislingen eG;Alb-Elektrizitätswerk Geislingen eG
;;;;Alb-Elektrizitätswerk Geislingen eG- Hochschulbund Nürtingen/Geislingen e.V.- Stadt Geislingen
;;;Härter Stanztechnik GmbH (Königsbach-Stein)– Kramski GmbH (Pforzheim)– Kummer GmbH+Co.KG (Ötisheim)– Sparkasse Pforzheim Calw und– Bruderer GmbH (Dortmund);Härter Stanztechnik GmbH (Königsbach-Stein)– Kramski GmbH (Pforzheim)– Kummer GmbH+Co.KG (Ötisheim)– Sparkasse Pforzheim Calw und– Bruderer GmbH (Dortmund)
;;;"4Com GmbH&amp;Co KG";"4Com GmbH&amp;Co KG"
;;;AB-Medica Deutschland GmbH;AB-Medica Deutschland GmbH
;;;ABB AG;ABB AG
;;;;ABB Deutschland
;;;"Abbott GmbH &amp; Co. KG";"Abbott GmbH &amp; Co. KG"
;;;"AbbVie (AbbVie Deutschland GmbH &amp; Co. KG)";"AbbVie (AbbVie Deutschland GmbH &amp; Co. KG)"
;;;Abfallwirtschaft Gmb;Abfallwirtschaft Gmb
;;;ABG Allg.Baumaschinen-Gesellschaft mbH;ABG Allg.Baumaschinen-Gesellschaft mbH
;;;act! Consulting GmbH;act! Consulting GmbH
;;;Actavis Deutschland;Actavis Deutschland
;;;Actelion Pharmaceuticals;Actelion Pharmaceuticals
;;;ADAC Sachsen e. V.;ADAC Sachsen e. V.
;;;Adam Opel AG;Adam Opel AG
;;;ADAS Consulting GmbH;ADAS Consulting GmbH
;;;Addisca Gemeinnützige GmbH;Addisca Gemeinnützige GmbH
;;;Adidas;Adidas
;;;Adolf I. Döpfert-Stiftung Ludwigsburg;Adolf I. Döpfert-Stiftung Ludwigsburg
;;;"Adolf Illig GmbH &amp; Co.";"Adolf Illig GmbH &amp; Co."
;;;Adolf Messer Stiftung;Adolf Messer Stiftung
;;;"Adolf Würth GmbH &amp; Co. KG";"Adolf Würth GmbH &amp; Co. KG"
;;;;Adolf-Würth GmbH, Künzelsau
;;;"Adolf Würth GmbH &amp; Co. KG - Fa. Bechtle AG Neckarsulm - Firma Müller - Die Lila Logistik AG Besigheim-Ottmarsheim - Stifterverband für Die Dt. Wissenschaft e.V.";"Adolf Würth GmbH &amp; Co. KG - Fa. Bechtle AG Neckarsulm - Firma Müller - Die Lila Logistik AG Besigheim-Ottmarsheim - Stifterverband für Die Dt. Wissenschaft e.V."
;;;advanced fiber tools GmbH;advanced fiber tools GmbH
;;;Aerzener Maschinenfabrik GmbH;Aerzener Maschinenfabrik GmbH
;;;Aesculap AG;Aesculap AG
;;;Aesculap AG und Schön Klinik Hamburg Eilbek;Aesculap AG und Schön Klinik Hamburg Eilbek
;;;"Aesculap AG; B. Braun Melsungen AG";"Aesculap AG; B. Braun Melsungen AG"
;;;Aeveo GmbH;Aeveo GmbH
;;;Agentur ABOVE THE LINE;Agentur ABOVE THE LINE
;;;AGICOA Urheberrechtsschutz GmbH München;AGICOA Urheberrechtsschutz GmbH München
;;;Agilent Messtechnik- Unternehmen;Agilent Messtechnik- Unternehmen
;;;"agn Niederberghaus &amp; Partner GmbH, HVB Immobilien AG";"agn Niederberghaus &amp; Partner GmbH, HVB Immobilien AG"
;;;Ahlemer HS-Forum e.V.;Ahlemer HS-Forum e.V.
;;;Ahlers, Sybille und Dirk;Ahlers, Sybille und Dirk
;;;Aicon 3D Systems GmbH;Aicon 3D Systems GmbH
;;;Airbus Deutschland GmbH;Airbus Deutschland GmbH
;;;;Airbus Deutschland GmbH, Bremen
;;;AJZ Engineering GmbH;AJZ Engineering GmbH
;;;Akademie für Psychotherapie und Interventionsforschung;Akademie für Psychotherapie und Interventionsforschung
;;;;Akademie Psychotherapie und Interventionsforschung
;;;Aktion Gemeinsinn e. V., Berlin;Aktion Gemeinsinn e. V., Berlin
;;;Aktormed GmbH;Aktormed GmbH
;;;Alberttinen Krks.;Alberttinen Krks.
;;;Albin u. Aenne Witter Stiftung Weitramsdorf;Albin u. Aenne Witter Stiftung Weitramsdorf
;;;Alcatel-Lucent Deutschland AG;Alcatel-Lucent Deutschland AG
;;;Alere Technologies GmbH;Alere Technologies GmbH
;;;Alexander von Humboldt-Stiftung;Alexander von Humboldt-Stiftung
;;;;Alexander von Humboldt Stiftung
;;;;Alexander-von-Humboldt- Stiftung
;;;;Alexander-von-Humboldt-Stiftung
;;;Alexion Pharma GmbH;Alexion Pharma GmbH
;;;Alfred Clouth Lackfabrik;Alfred Clouth Lackfabrik
;;;Alfried Krupp von Bohlen und Halbach-Stiftung;Alfried Krupp von Bohlen und Halbach-Stiftung
;;;;Alfred Krupp von Bohlen und Halbach-Stiftung
;;;Alfred-Freiherr von Oppenheim-Stiftung;Alfred-Freiherr von Oppenheim-Stiftung
;;;Alfred-Töpfer-Stiftung;Alfred-Töpfer-Stiftung
;;;;Alfred Toepfer Stiftung
;;;ALJO Aluminium-Bau Jonuscheit GmbH Berne;ALJO Aluminium-Bau Jonuscheit GmbH Berne
;;;Allerheiligen, Dieter und Rosemarie;Allerheiligen, Dieter und Rosemarie
;;;Allgäuer Werkstätten GmbH;Allgäuer Werkstätten GmbH
;;;Allgäuer Zeitungsverlag GmbH;Allgäuer Zeitungsverlag GmbH
;;;Allianz Beratungs- und Vertriebs-AG;Allianz Beratungs- und Vertriebs-AG
;;;;Allianz Investment Management SE
;;;Almirall Hermal GmbH;Almirall Hermal GmbH
;;;Alpha Industrial Service GmbH;Alpha Industrial Service GmbH
;;;Altana AG Bad Homburg;Altana AG Bad Homburg
;;;Alte Oldenburger Krankenversicherung AG, Vechta;Alte Oldenburger Krankenversicherung AG, Vechta
;;;Altran GmbH;Altran GmbH
;;;Ambau GmbH;Ambau GmbH
;;;Ameos Klinikum Hildesheim;Ameos Klinikum Hildesheim
;;;American Diagnostica GmbH;American Diagnostica GmbH
;;;Amgen GmbH;Amgen GmbH
;;;AmplexBiosystems GmbH;AmplexBiosystems GmbH
;;;Analytik Jena AG;Analytik Jena AG
;;;Andreas-Stihl-Stiftung;Andreas-Stihl-Stiftung
;;;Anonym;Anonym
;;;anonym**;anonym**
;;;;anonymisiert*
;;;Ansbacher Versorgungs- und Verkehrsholding GmbH;Ansbacher Versorgungs- und Verkehrsholding GmbH
;;;Anstalt für Religion Diyanet, Türkei;Anstalt für Religion Diyanet, Türkei
;;;Antisense Pharma;Antisense Pharma
;;;Anwed Löseke Papierverwaltung und Druckerei GmbH;Anwed Löseke Papierverwaltung und Druckerei GmbH
;;;AOK - Die Gesundheitskasse;AOK - Die Gesundheitskasse
;;;;AOK Bayern und Kassenärztliche Vereinigung Bayerns
;;;;AOK Gesundheitskasse Brandenburg
;;;;AOK Nds.
;;;apromeX GmbH;apromeX GmbH
;;;AQTON SE;AQTON SE
;;;Aqua Free Membrane;Aqua Free Membrane
;;;Arbeitgeberverband Oldenburg;Arbeitgeberverband Oldenburg
;;;;Arbeitgeberverband Oldenburg e.V.
;;;Arbeitsgemeinschaft der Volksbanken und Raiffeisenbanken in Weser-Ems;Arbeitsgemeinschaft der Volksbanken und Raiffeisenbanken in Weser-Ems
;;;Arbeitskreis Militärgeschichte e.V., Bangor/UK;Arbeitskreis Militärgeschichte e.V., Bangor/UK
;;;ArcelorMittal Eisenhüttenstadt;ArcelorMittal Eisenhüttenstadt
;;;Architektenbüro Rode-Kaczor + Thielemann;Architektenbüro Rode-Kaczor + Thielemann
;;;Architektengruppe Schweitzer GmbH;Architektengruppe Schweitzer GmbH
;;;Architektenkammer Thüringen;Architektenkammer Thüringen
;;;Architekturbüro Kleffel;Architekturbüro Kleffel
;;;Architekturfabrik Neubrandenburg;Architekturfabrik Neubrandenburg
;;;Arclor GmbH;Arclor GmbH
;;;AREVA Wind GmbH;AREVA Wind GmbH
;;;Arnold Umformtechnik;Arnold Umformtechnik
;;;Arwed Lösecke Hochschulstiftung;Arwed Lösecke Hochschulstiftung
;;;Ärzte KV;Ärzte KV
;;;Asklepios Fachkliniken GmbH;Asklepios Fachkliniken GmbH
;;;asphericon GmbH;asphericon GmbH
;;;Assmann Beraten + Planen GmbH;Assmann Beraten + Planen GmbH
;;;AStA der Ostfalia;AStA der Ostfalia
;;;ASTA FFO;ASTA FFO
;;;Astellas GmbH;Astellas GmbH
;;;Astellas Pharma GmbH;Astellas Pharma GmbH
;;;;Astellas Pharma
;;;Astra Tech GmbH;Astra Tech GmbH
;;;Astra Zeneca GmbH;Astra Zeneca GmbH
;;;Atoss Software AG;Atoss Software AG
;;;Audi;Audi
;;;;AUDI AG
;;;Audi, Automotive Lighting, BMW, Daimler, Hella, Koito Manufacturing, Odelo, Opel, Osram, Philips, Valeo Eclairage Signalisation, Zizala Lichtsysteme;Audi, Automotive Lighting, BMW, Daimler, Hella, Koito Manufacturing, Odelo, Opel, Osram, Philips, Valeo Eclairage Signalisation, Zizala Lichtsysteme
;;;Auel EDV-Beratung GmbH;Auel EDV-Beratung GmbH
;;;Auerbach Stiftung Nürnberg;Auerbach Stiftung Nürnberg
;;;"August Mainka GmbH &amp; Co";"August Mainka GmbH &amp; Co"
;;;Auronik GmbH;Auronik GmbH
;;;Autohaus Anders, Vechta;Autohaus Anders, Vechta
;;;Autohaus Franz;Autohaus Franz
;;;Autohaus Rosier GmbH;Autohaus Rosier GmbH
;;;AutoVision GmbH;AutoVision GmbH
;;;avedition GmbH;avedition GmbH
;;;Aventis Foundation Frankfurt;Aventis Foundation Frankfurt
;;;AWD-Hannover;AWD-Hannover
;;;"Axilone Germany GmbH (Wiehl), BARLOG plastics GmbH (Engelskirchen); Boyke Wear Technology GmbH, (Lindlar); ERÜ GmbH (Radevormwald), Jokey Plastic Wipperfürth GmbH, Pflitsch GmbH &amp; Co. KG, (Hückeswagen";"Axilone Germany GmbH (Wiehl), BARLOG plastics GmbH (Engelskirchen); Boyke Wear Technology GmbH, (Lindlar); ERÜ GmbH (Radevormwald), Jokey Plastic Wipperfürth GmbH, Pflitsch GmbH &amp; Co. KG, (Hückeswagen"
;;;axxo Design Horst Krieger KG;axxo Design Horst Krieger KG
;;;B-IT Bonn-Aachen International Center for Information Technology;B-IT Bonn-Aachen International Center for Information Technology
;;;B. Braun Melsungen AG;B. Braun Melsungen AG
;;;"B. Braun Melsungen AG, Kasseler Bank eG, Verlag Dierichs GmbH &amp; Co. KG, RSE Planungsgesellschaft mbH, Technoform Caprano und Brunnhofer GmbH &amp; Co. KG, Kali und Salz AG";"B. Braun Melsungen AG, Kasseler Bank eG, Verlag Dierichs GmbH &amp; Co. KG, RSE Planungsgesellschaft mbH, Technoform Caprano und Brunnhofer GmbH &amp; Co. KG, Kali und Salz AG"
;;;b.i.g.-Gruppe;b.i.g.-Gruppe
;;;B.R.A.I.N. AG;B.R.A.I.N. AG
;;;Bach, Friedrich-Wilhelm;Bach, Friedrich-Wilhelm
;;;Baden Badener Unternehmensgespräche;Baden Badener Unternehmensgespräche
;;;Bahlsen Stiftung;Bahlsen Stiftung
;;;Baker Hughes Inteq GmbH;Baker Hughes Inteq GmbH
;;;Bakir Immobilien;Bakir Immobilien
;;;Band Pro;Band Pro
;;;"Bankhaus Ellwanger &amp; Geiger KG";"Bankhaus Ellwanger &amp; Geiger KG"
;;;"Bankhaus Metzler seel. Sohn &amp; Co. KGaA";"Bankhaus Metzler seel. Sohn &amp; Co. KGaA"
;;;"Bankhaus W. Fortmann &amp; Söhne, Oldenburg";"Bankhaus W. Fortmann &amp; Söhne, Oldenburg"
;;;Barke, Heidemarie;Barke, Heidemarie
;;;Barmenia Versicherungen;Barmenia Versicherungen
;;;Barmer Ersatzkasse;Barmer Ersatzkasse
;;;Barmherzige Brüder;Barmherzige Brüder
;;;Barthel-Stiftung;Barthel-Stiftung
;;;Bartos-Höppner-Stiftung;Bartos-Höppner-Stiftung
;;;BASF;BASF
;;;;BASF Schwarzheide GmbH
;;;;BASF SE
;;;BauConsult DV- und Unternehmensberatung Stuttgart GmbH;BauConsult DV- und Unternehmensberatung Stuttgart GmbH
;;;Bauer Maschinen GmbH;Bauer Maschinen GmbH
;;;Bauerfeind AG;Bauerfeind AG
;;;;Bauernfeind AG, Zeulenroda
;;;Baugenossenschaft Wiederaufbau EG;Baugenossenschaft Wiederaufbau EG
;;;Baumarkt Obi;Baumarkt Obi
;;;Baumüller, Conti Temic, Isyst Intelligente Systeme, Siemens;Baumüller, Conti Temic, Isyst Intelligente Systeme, Siemens
;;;"Baur &amp; Company";"Baur &amp; Company"
;;;Bavaria Film GmbH;Bavaria Film GmbH
;;;Baxter Deutschland GmbH;Baxter Deutschland GmbH
;;;Baxter GmbH;Baxter GmbH
;;;Bayer;Bayer
;;;;Bayer AG
;;;;Bayer CropScience Deutschland GmbH
;;;;Bayer Health Care AG
;;;;Bayer Pharma AG
;;;;Bayer Schering Pharma AG
;;;;Bayer Science und Education Foundation
;;;;Bayer Stiftungen
;;;;Bayer Vital GmbH
;;;Bayer AG und LANXESS AG;Bayer AG und LANXESS AG
;;;Bayerische BauAkademie;Bayerische BauAkademie
;;;Bayrische Motoren Werke AG;Bayrische Motoren Werke AG
;;;BayWa AG;BayWa AG
;;;BBBank eG;BBBank eG
;;;Bechtle GmbH Hannover;Bechtle GmbH Hannover
;;;"Becker &amp; Armbrust GmbH";"Becker &amp; Armbrust GmbH"
;;;Beckhoff Automation GmbH;Beckhoff Automation GmbH
;;;Beckman Coulter GmbH;Beckman Coulter GmbH
;;;Becton Dickinson GmbH;Becton Dickinson GmbH
