Bundesland;Uni;Name;Unternehmen;Branche;FIELD6;Funktion;Alternativname;Quelle
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Prof. Dr. Michael Kaschke;Carl Zeiss AG;Optik;;;Carl Zeiss;https://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Stefan Quandt;AQTON SE;;;;;https://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Susanne Kunschert;Pilz GmbH & Co. KG;;;;;https://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Prof. Dr. Dr. Andreas Barner;Boehringer Ingelheim;Chemie;;Vorsitzender;;https://www.uni-freiburg.de/universitaet/zentrale-universitaere-gremien/der-universitaetsrat
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Honorarprof. Dr. Hagen Pfundner;Roche Pharma AG;Chemie;;;;https://www.uni-freiburg.de/universitaet/zentrale-universitaere-gremien/der-universitaetsrat
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Alfred Theodor Ritter;Alfred Ritter GmbH & Co. KG;Lebensmittel;;;;https://www.uni-freiburg.de/universitaet/zentrale-universitaere-gremien/der-universitaetsrat
Baden-Württemberg;Universität Heidelberg (ohne Klinikum);Saori Dubourg;BASF;Chemie;;;BASF SE;https://www.uni-heidelberg.de/universitaetsrat/cv_voss.html
Baden-Württemberg;Universität Heidelberg (ohne Klinikum);Prof. Dr. Hanns-Peter Knaebel;Aesculap AG;Pharma;(Medizintechnik);Vorsitzender;;https://www.uni-heidelberg.de/universitaetsrat/cv_voss.html
Baden-Württemberg;Universität Hohenheim;Prof. Dr. Wolfgang Plischke;Bayer;Chemie;;;Bayer AG;https://www.uni-hohenheim.de/universitaetsrat-mitglieder
Baden-Württemberg;Universität Hohenheim;Dr. Wolfgang Kuhn;Südwestbank;Finanzwirtschaft;;;;https://www.uni-hohenheim.de/universitaetsrat-mitglieder
Baden-Württemberg;Universität Konstanz;Dr. Alexandra Brand;Syngenta Agro GmbH;Chemie;;Stellv. Vorsitz;;http://www.profil.uni-konstanz.de/die-universitaet/universitaetsrat/
Baden-Württemberg;Universität Konstanz;Prof. Dr. Wolfram Münch;EnBW;Energie;;Vorsitz;;http://www.profil.uni-konstanz.de/die-universitaet/universitaetsrat/
Baden-Württemberg;Universität Stuttgart;Dr.-Ing. Thomas Friemuth;Porsche;Automobil;Elektronik;;;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Universität Stuttgart;Anke Kleinschmit;Andreas Stihl;;;;;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Universität Stuttgart;Dr. Susanne Kortendick;Metro AG;Handel;;;;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
