Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;;;;;;;;
Bremen;Hochschule Bremen;"Stiftungsprofessur ""Maritimes Management""";Bremer Rhederverein e.V.;;;Stand Mai 2011;Anfrage an die Senatsverwaltung für Bildung und Wissenschaft;;
;;"Stiftungsprofessur zum Masterstudiengang ""Zukunftsfähige Energiesysteme""";swb AG;;;;;;
;;;EWE AG;;;;;;
;;"2 Stiftungsprofessuren im Studiengang ""Internationaler Studiengang Shipping and Chartering";Kieserling-Stiftung;;;;;;
;;;Conrad Naber Stiftung;;;;;;
;;;Stiftung der Bremer Landesbank;;;;;;
;;;Bremer Rhederverein e.V.;;;;;;
;;;Wirtschaftsprüfungs- und Steuerberatungsgesellschaft Dr. Steinberg und Partner GmbH;;;;;;
;Hochschule Bremerhaven;Integrated Safety and Security Management;Nordseezeitung;;;;;;
;;;BLG Logistics;;;;;;
;;Simulation auf dem Gebiet der Windenergietechnik;AREVA Wind GmbH;;;;;;
;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Bremer Landesbank;;;;;;
;;;Städt. Sparkasse Bremerhaven;;;;;;
;;;Germanischer Lloyd AG;;;;;;
;Universität Bremen;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;OHB System AG;;;10 Jahre, August 2012 bis Juli 2022;http://www.uni-bremen.de/universitaet/foerderer-partner/gefoerderte-projekte/stiftungsprofessuren.html;;
;;;Deutsches Zentrum für Luft- und Raumfahrt;;;;;;
;;;Stifterverband für die Deutsche Wissenschaft;;;;;;
;;Lichtenberg-Professur für transnationales Wirtschaftsrecht;Volkswagen;;;5 Jahre, August 2012 bis Juli 2017;;Volkswagen-Stiftung;
;;Airbus-Stiftungsprofessur für Multiskalensimulation und -modellierung von Materialien;Airbus Deutschland GmbH;;;5 Jahre, Dezember 2009 bis November 2014;;;
;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Stiftung Bremer Wertpapierbörse;;;5 Jahre, November 2009 bis Oktober 2014;;;
;;;Wolfgang-Ritter-Stiftung;;;;;;
;;;Fraunhofer-Gesellschaft;;;;;;
;;Stiftungsprofessur für Echtzeitbildverarbeitung;Deutschen Forschungszentrum für Künstliche Intelligenz (DFKI);;;6 Jahre, vom Juni 2008 bis zum Mai 2014;;;
;;Conrad-Naber-Stiftungsprofessur für Grenzflächenforschung: Bio-Nano-Werkstofftechnik;Conrad Naber Stiftung;;;2 Jahre ab 2007;;;
;;Stiftungsprofessur für Klinische Epidemiologe;Stiftung Arzneimittelsicherheit;;;5 Jahre, vom 01. März 2007 bis zum 29. Februar 2012;;;
;;;Bayer;;;;;Bayer AG;
;;"Kooperations-Juniorprofessur ""Bundesstaatliche und regionale Finanzbeziehungen""";Senator für Finanzen;;;6 Jahre ab März 2007;;;
;;Stiftungsprofessur für Prozessgerechte Technologiegestaltung;Daimler;;;5 Jahre, vom Januar 2008 bis zum Dezember 2013;;Daimler-Fonds beim Stifterverband für die Deutsche Wissenschaft;
;;Stiftungsprofessur für Klinische Kinderpsychologie;Förderverein der Universitätskinderambulanz;;;Unbefristet ab Januar 2007;;;
;;Stiftungsprofessur für Management nachhaltiger Systementwicklung;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre, 2004 bis 2009;;;
;;Stiftungsprofessur für Rehabilitationspsychologie;LVA Oldenburg Bremen;;;6 Jahre, vom Mai 2004 bis zum April 2010;;;
;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre, vom 01. Oktober 2002 bis zum 30. September 2005;;;
;;;Kraft Foods;;;;;;
;;;Beck's;;;;;;
;;;Masterfoods;;;;;;
;;;Frosta;;;;;;
;;;Basler Securitas;;;;;;
;;;Kellogg's;;;;;;
;;Stiftungsprofessur für Verfahren zur Wertstoffrückgewinnung;Stifterverband für die deutsche Wissenschaft;;;5 Jahre, vom Oktober 2001 bis zum September 2006;;;
;;;hanseWasser GmbH;;;;;;
;;Daimler-Stiftungsprofessur für Management mittelständiger Unternehmen im internationalen Geschäft;Stifterverband für die deutsche Wissenschaft;;;3 Jahre, vom April 2001 bis zum März 2004;;;
;;;Daimler;;;;;DaimlerChrysler Fonds beim Stifterverband;
