uID;Name;Firma;Alternativname;Quelle
950;Universitätsklinikum Schleswig-Holstein;;;
1001;Universität Kiel;Schmidt & Hoffmann GmbH;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;Wind Energie Anlagen GmbH ;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;Hugendubel;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;ZöLLNER Holding GmbH;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;Murmann Verlagsgruppe;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;CITTI Handelsgesellschaft ;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;Vater Holding GmbH ;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1001;Universität Kiel;Investitionsbank Schleswig-Holstein ;;http://www.uni-kiel.de/foerderer/stipendien/de-stip-geber.shtml
1011;Universität Lübeck;;;
3100;Universität Flensburg;;;
2590;Musikhochschule Lübeck;;;
5080;Muthesius Kunsthochschule Kiel;;;
5050;Priv. FH Wedel;;;
5070;AKAD Hochschule Pinneberg;;;
5280;Nordakademie Hochschule der Wirtschaft;;;
5010;FH Flensburg;;;
5020;FH Kiel;;;
5030;FH Lübeck;Architekten- und Ingenieurkammer Schleswig Holstein;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Dräger;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Euroimmun;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Gabler;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Hansapark;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;IHK Lübeck;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Mankenberg;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;oncampus;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Possehl-Stiftung;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Tate & Lyle;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5030;FH Lübeck;Buhck Umweltservices GmbH;;http://www.fh-luebeck.de/Inhalt/01_Studieninteressierte_Ch011/Deutschlandstipendium/index.html
5090;FH Westküste, Heide;Alfaref GmbHBroschüre;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Brunsbüttel Ports GmbH;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Deutsche Telekom;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Ferchau Engineering ;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Förderforum Fachhochschule Westküste e.V.;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;JessenLenz GmbH;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Kernkraftwerk Brokdorf GmbH;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;Lions-Club Dithmarschen;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;SASOL Germany GmbH ;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5090;FH Westküste, Heide;TOTAL;;http://www.fh-westkueste.de/studieninteressierte/finanzierung/deutschlandstipendium/foerderer/
5060;FH für Verwaltung und Dienstleistung Altenholz;;;
1060;Bucerius Law School Hamburg (Priv. H);;;
1029;Universität Hamburg (Klinikum);;;
690;Hafencity Universität Hamburg;Henri Benthack Stiftung;;http://www.hcu-hamburg.de/universitaet/services-und-kontakt/downloads/?no_cache=1&cid=5157&did=6901&sechash=9042abe4
1021;Universität Hamburg (ohne Klinikum);;;
1022;Staats- und Universitätsbibliothek Hamburg;;;
1040;TU Hamburg-Harburg;;;
800;Helmut-Schmidt-Universität Hamburg;;;
2500;Hochschule für Musik und Theater Hamburg;;;
2810;Hochschule für Bildende Künste Hamburg;;;
880;EBC Euro Business College Hamburg (Priv. FH);;;
890;ISS International Business School of Service Management Hamburg (Priv. FH);;;
5220;HFH - Hamburger Fern-Hochschule;;;
5260;Europäische Fernhochschule Hamburg;;;
8070;AMD Akademie Mode und Design;;;
8090;HSBA Hamburg School of Business Admin. (Priv. FH);;;
5210;Hochschule für Angewandte Wissenschaften Hamburg;;;
5230;Evang. Hochschule für Soziale Arbeit und Diakonie, Hamburg (FH);;;
5240;Hochschule der Polizei, Hamburg (Verw-FH);;;
7990;Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg;;;
1031;Universität Göttingen (ohne Klinikum);Alumni Göttingen e.V.;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Amgen;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Arbeitgeberverband Mitte e.V.;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Asklepios Fachkliniken GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Bayer;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);DATAflor AG;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Dr. Berliner - Dr. Ungewitter - Stiftung;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Dr. Michael Bunte;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Carl Zeiss;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Concept Dental GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Cuvillier Verlag;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Edmund Rehwinkel-Stiftung;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Evangelisch-lutherische Landeskirche Hannovers;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Evangelische Kirche Deutschland (EKD);;https://www.uni-goettingen.de/de/416121.html
