Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Nordrhein-Westfalen;Hochschule Hamm-Lippstadt;Gertjan van der Ven;;Emerson Deutschland;;http://www.hshl.de/hochschulrat
Nordrhein-Westfalen;Hochschule Hamm-Lippstadt;Jörg Hegemann;stellvertretender Vorsitzender;Stadtwerke Hamm;;http://www.hshl.de/hochschulrat
Nordrhein-Westfalen;Hochschule Hamm-Lippstadt;Wilhelm Dresselhaus;;Alcatel-Lucent Deutschland AG;;http://www.hshl.de/hochschulrat
Nordrhein-Westfalen;Hochschule Hamm-Lippstadt;Robert Heggemann;;HEGGEMANN AG;;http://www.hshl.de/hochschulrat
Nordrhein-Westfalen;Hochschule Niederrhein;Herr Professor Dr. Sebastian M. Schmidt;stellvertretender Vorsitzender;Forschungszentrum Jülich GmbH;;http://www.hs-niederrhein.de/hochschule/organisation/hochschulrat/
Nordrhein-Westfalen;Hochschule Niederrhein;Frau Jutta Zülow;;Zülow AG;;http://www.hs-niederrhein.de/hochschule/organisation/hochschulrat/
Nordrhein-Westfalen;FH Westliches Ruhrgebiet;Dipl.-Ing. Gabriele Riedmann de Trinidad;Vorsitzende;Deutsche Telekom;T-Systems International GmbH;http://www.hochschule-ruhr-west.de/die-hrw/organisation/hochschulrat.html
Nordrhein-Westfalen;FH Westliches Ruhrgebiet;Burkhard Drescher;stellvertretender Vorsitzender;InnovationCity Management GmbH;;http://www.hochschule-ruhr-west.de/die-hrw/organisation/hochschulrat.html
Nordrhein-Westfalen;FH Westliches Ruhrgebiet;Burkhard Drescher;stellvertretender Vorsitzender;BDC Consulting GmbH & Co.KG;;http://www.hochschule-ruhr-west.de/die-hrw/organisation/hochschulrat.html
Nordrhein-Westfalen;Hochschule Ostwestfalen-Lippe;Ernst-Michael Hasse;;Schwering & Hasse Elektrodraht GmbH;;http://www.hs-owl.de/campus/organe-und-gremien/hochschulrat.html
Nordrhein-Westfalen;Hochschule Ostwestfalen-Lippe;Professorin Dr. Marianne Reeb;;Daimler;Daimler Society and Technology Research Group;http://www.hs-owl.de/campus/organe-und-gremien/hochschulrat.html
Nordrhein-Westfalen;Hochschule Ostwestfalen-Lippe;Dr. Ulrich Stiebel;;Stiebel Eltron;;http://www.hs-owl.de/campus/organe-und-gremien/hochschulrat.html
Nordrhein-Westfalen;RWTH Aachen (ohne Klinikum);Dr.-Ing. Bernd Bohr;stellvertretender Vorsitzender;Bosch;;http://www.rwth-aachen.de/cms/root/Die_RWTH/Profil/Organisation/~pwn/Hochschulrat/
Nordrhein-Westfalen;RWTH Aachen (ohne Klinikum);Prof. Dr. Siegfried Russwurm;;Siemens;CEO Industry Sector Siemens AG;http://www.rwth-aachen.de/cms/root/Die_RWTH/Profil/Organisation/~pwn/Hochschulrat/
Nordrhein-Westfalen;Universität Wuppertal;Josef Beutelmann;Vorsitzender;Barmenia Versicherungen;;http://www.uni-wuppertal.de/universitaet/hochschulgremien/hochschulrat/mitglieder-des-hochschulrats.html
Nordrhein-Westfalen;Universität Siegen;Arndt G. Kirchhof;Vorsitzender;KIRCHHOFF Gruppe;;https://www.uni-siegen.de/start/die_universitaet/organisation/universitaere_gremien/hochschulrat.html?lang=de
Nordrhein-Westfalen;Universität Paderborn;Hubertus Benteler;;Benteler;;http://www.uni-paderborn.de/universitaet/hochschulrat/
Nordrhein-Westfalen;Universität Paderborn;Herbert Hanselmann;;dSPACE GmbH;;http://www.uni-paderborn.de/universitaet/hochschulrat/
Nordrhein-Westfalen;Universität Bielefeld;Dirk Hindric;;Schüco International KG;;https://www.uni-bielefeld.de/Universitaet/Ueberblick/Organisation/Hochschulrat/mitglieder.html
Nordrhein-Westfalen;Universität Düsseldorf (ohne Klinikum);Patrick Schwarz-Schütte;stellvertretender Vorsitzender;Black Horse Investments GmbH;;http://www.uni-duesseldorf.de/home/universitaet/strukturen/hochschulrat.html
Nordrhein-Westfalen;Universität Düsseldorf (ohne Klinikum);Dr. Simone Bagel-Trah;;Henkel;;http://www.uni-duesseldorf.de/home/universitaet/strukturen/hochschulrat.html
Nordrhein-Westfalen;Universität zu Köln (ohne Klinikum);Dr. Richard Pott;Vorsitzender;Bayer;Bayer AG;http://www.portal.uni-koeln.de/hochschulrat.html?&L=0
Nordrhein-Westfalen;Universität zu Köln (ohne Klinikum);Dr. Barbara Bludau;;Kanzlei P+P Pöllath und Partners;;http://www.portal.uni-koeln.de/hochschulrat.html?&L=0
