Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;Quelle
Thüringen;Bauhaus-Universität Weimar;2010;Vattenfall;Geldleistung;Sponsoring;20000;Bauhaus-Solar Kongress;Vattenfall Europe AG;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Hannover Leasing GmbH;Geldleistung;Sponsoring;3500;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Societe Generale;Sachleistung;Sponsoring;11000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;NRW Bank;Sachleistung;Sponsoring;5882,35;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;DZ Bank;Sachleistung;Sponsoring;11000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Ernst & Young;Geldleistung;Sponsoring;10000;Betriebswirtsch. Symposium;Ernst &Young Real Estate;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Meridiam Infrastructure;Geldleistung;Sponsoring;10000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Deutsche Bank;Sachleistung;Sponsoring;7000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Landesbank Hessen-Thüringen HELABA;Sachleistung;Sponsoring;4000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Merkur Bank KGaA;Geldleistung;Sponsoring;2750;Preis Medienkunst;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Anonym;Geldleistung;Spenden;321141,9;wissenschaftliche Zwecke;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2010;Anonym;Geldleistung;Spenden;4584,68;wissenschaftliche Zwecke;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Vattenfall;Geldleistung;Sponsoring;20000;Bauhaus-Solar Kongress;Vattenfall Europe AG;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;LEG Thüringen;Geldleistung;Sponsoring;1354,92;Thür. Werkstofftag;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;DZ Bank;Geldleistung;Sponsoring;7500;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Hannover Leasing GmbH;Geldleistung;Sponsoring;2000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Bilfinger Berger;Geldleistung;Sponsoring;11000;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Hochtief;Geldleistung;Sponsoring;11000;Betriebswirtsch. Symposium;HOCHTIEF Concessions AG;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;NRW Bank;Geldleistung;Sponsoring;5882,35;Betriebswirtsch. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Ernst & Young;Geldleistung;Sponsoring;10000;Betriebswirtsch. Symposium;Ernst &Young Real Estate;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;SPS Europe Putten;Sachleistung;Sponsoring;950;4.Western European Workshop;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Merkur Bank KGaA;Geldleistung;Sponsoring;2750;Preis Medienkunst;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Georg Fischer GmbH;Geldleistung;Sponsoring;3468,26;150 Winkel für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Loth und Partner;Geldleistung;Sponsoring;3570;Mero Kuppel für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;modulor Berlin;Geldleistung;Sponsoring;1964,63;Stegplatten für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;axxo Design Horst Krieger KG;Geldleistung;Sponsoring;1035,18;150 Schilder für;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Kronoply GmbH;Geldleistung;Sponsoring;2845,96;130 OSB-Platten für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Der Fuchs GmbH;Geldleistung;Sponsoring;1551,48;Gewindestangen für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Fa.Uwe Quenzel;Geldleistung;Sponsoring;1190;Verbindungsmittel für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Mehler Texnologies GmbH;Geldleistung;Sponsoring;1208,14;5 Rollen Papier für Summary;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Anonym;Geldleistung;Spenden;146724,3;wissenschaftliche Zwecke;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Bauhaus-Universität Weimar;2011;Anonym;Sachleistung;Spenden;3666,23;wissenschaftliche Zwecke;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Sparkasse Jena-Saale- Holzland;Geldleistung;Sponsoring;500;Thoskakarte;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Dr. Schmidt Intracularlinsen GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Essilor GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Rathenower Optik GmbH;Geldleistung;Sponsoring;500;Lehrbuch Grundlagen Optik und Technologien in der Augenoptik;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;MLP AG;Geldleistung;Sponsoring;600;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Computer-Dienst Jena GmbH;Geldleistung;Sponsoring;500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Jenapharm GmbH & Co.KG;Geldleistung;Sponsoring;1600;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;CyBio AG;Geldleistung;Sponsoring;500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Intershop Communica- tions AG;Geldleistung;Sponsoring;1500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;MAZeT GmbH;Geldleistung;Sponsoring;500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Thüringer Aufbaubank;Geldleistung;Sponsoring;500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;VACOM Vakuum Komponenten & Messtechnik GmbH;Geldleistung;Sponsoring;1500;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;ThyssenKrupp;Geldleistung;Spende;1600;Unterstützung Fach- bereich BW, Schwerpunkt Marketing;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Häusliche Krankenpflege, Christine Zwinscher GmbH;Geldleistung;Spende;500;Ikonenmalerei;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Seniorenpflegeheim, Die Kochsche GmbH;Geldleistung;Spende;500;Ikonenmalerei;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Jenoptik;Geldleistung;Spende;2360,1;BEGEGNUNGEN Kultur-Technik- Wirtschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Förderkreis Studium und Wirtschaft Jena e.V.;Geldleistung;Spende;1500;Thomson Datenbank;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Gebrüder Götz GmbH & Co.KG;Geldleistung;Spende;5000;Ausstattung Labor Systementwurf Fachbereich ET/IT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2010;Günter-Köhler- Institut f. Fügetechn. u.Werkstoffpr..;Geldleistung;Spende;5000;Zuwendung SIGNO;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;codematix GmbH;Geldleistung;Sponsoring;714;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Wacker Biotech GmbH;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Carl Zeiss;Geldleistung;Sponsoring;5950;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;VIEGA GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Unister Holding GmbH;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
