Land;Hochschule;Fakultät;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Startpunkt;Quelle;Alternativname;Status
Bremen;Hochschule Bremen;;China;Henning Melchers ;;;;2010;;;
Bremen;Hochschule Bremen;;China;Ostasiatischen Verein zu Bremen;;;;;;;
Bremen;Hochschule Bremen;;China;Peter Franz Neelmeyer-Stiftung;;10000;;;;;
Bremen;Hochschule Bremen;;China;Ernst-Georg Heinemann-Stiftung;;5000;;;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur Maritimes Management;Bremer Rhederverein e.V.;;;5 Jahre;2010;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur zum Masterstudiengang Zukunftsfähige Energiesysteme;swb AG;;;;;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur zum Masterstudiengang Zukunftsfähige Energiesysteme;EWE;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Kieserling-Stiftung;;380000;;2012;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Conrad Naber Stiftung;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Bremer Landesbank;;;;;;Stiftung der Bremer Landesbank;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Bremer Rhederverein e.V.;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Wirtschaftsprüfungs- und Steuerberatungsgesellschaft Dr. Steinberg und Partner GmbH;;;;;;;
Bremen;Hochschule Bremerhaven;;Integrated Safety and Security Management;Nordseezeitung;;;;;;;
Bremen;Hochschule Bremerhaven;;Integrated Safety and Security Management;BLG Logistics;;;;;;;
Bremen;Hochschule Bremerhaven;;Simulation auf dem Gebiet der Windenergietechnik;AREVA Wind GmbH;100000;;5 Jahre;2010;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Bremer Landesbank;100000;;5 Jahre;2010;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Sparkasse Bremerhaven;;;;;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Germanischer Lloyd AG;;;;;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Beluga Shipping GmbH;;;;;;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;OHB System AG;;;10 Jahre;2012;http://www.uni-bremen.de/universitaet/foerderer-partner/gefoerderte-projekte/stiftungsprofessuren.html;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;Deutsches Zentrum für Luft- und Raumfahrt;;;;;;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Bremen;Universität Bremen;Institut für Handelsrecht;Lichtenberg-Professur für transnationales Wirtschaftsrecht;Volkswagen-Stiftung;;1170000;5 Jahre;2012;;;
Bremen;Universität Bremen;;Airbus-Stiftungsprofessur für Multiskalensimulation und -modellierung von Materialien;Airbus Group;;;5 Jahre;2009;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Stiftung Bremer Wertpapierbörse;;;5 Jahre;2009;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Wolfgang-Ritter-Stiftung;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Fraunhofer-Gesellschaft;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Echtzeitbildverarbeitung;Deutschen Forschungszentrum für Künstliche Intelligenz (DFKI);;;6 Jahre;2008;;;
Bremen;Universität Bremen;;Conrad-Naber-Stiftungsprofessur für Grenzflächenforschung: Bio-Nano-Werkstofftechnik;Conrad Naber Stiftung;;;2 Jahre;2007;;;
Bremen;Universität Bremen;;Helmut Schmidt Chair of International History;DIE ZEIT, Hamburg;;;3 Jahre;2002;;Zeit-Stiftung, Ebelin und Gerd Bucerius;
Bremen;Universität Bremen;;Mehrsprachigkeit in Europa;Conrad Naber Stiftung;100000;;5 Jahre;2008;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Epidemiologe;Stiftung Arzneimittelsicherheit;;;5 Jahre;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Epidemiologe;Bayer;;;;;;Bayer AG;
Bremen;Universität Bremen;;Kooperations-Juniorprofessur Bundesstaatliche und regionale Finanzbeziehungen;Senator für Finanzen;;;6 Jahre;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Prozessgerechte Technologiegestaltung;Daimler;;;5 Jahre;2008;;Daimler-Fonds beim Stifterverband für die Deutsche Wissenschaft;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Kinderpsychologie;Förderverein der Universitätskinderambulanz;;;unbefristet;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Management nachhaltiger Systementwicklung;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;2004;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Rehabilitationspsychologie;LVA Oldenburg Bremen;;;6 Jahre;2004;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2002;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Kraft Foods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Beck's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Masterfoods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Frosta;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Basler Securitas;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Kellogg's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Verfahren zur Wertstoffrückgewinnung;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;2001;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Verfahren zur Wertstoffrückgewinnung;hanseWasser GmbH;;;;;;;
Bremen;Universität Bremen;;Daimler-Stiftungsprofessur für Management mittelständiger Unternehmen im internationalen Geschäft;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2001;;;
Bremen;Universität Bremen;;Daimler-Stiftungsprofessur für Management mittelständiger Unternehmen im internationalen Geschäft;Daimler;;;;;;DaimlerChrysler Fonds beim Stifterverband;
Bremen;Universität Bremen;;Stiftungsprofessur Neuropharmakologie;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2000;;;
Bremen;Universität Bremen;;Stiftungsprofessur Neuropharmakologie;Rudolf- und Helene-Glaser-Stiftung und Stemmler-Stiftung;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Wirtschaftspolitik und Wirtschaftsstruktur;Wirtschaftsstrukturpolitisches Aktionsprogramm des Landes Bremen und Europäische Gemeinschaft;;;5 Jahre;1995;;;
